지역,평균기온 평균(℃),최고기온 평균(℃),최저기온 평균(℃),강수량 합계(㎜),상대습도 평균(%),일조시간 합계(시간),수평면일사량 합계(MJ/㎡),가로수 선정(종),계절
13.0,2.7,6.7,0.8,33.6,74.4,160.4,291.7,5.0,겨울
13.0,6.9,11.6,2.9,66.1,73.8,217.8,452.6,5.0,봄
13.0,12.3,17.0,8.3,102.0,75.3,219.3,508.1,5.0,봄
13.0,17.8,22.6,13.9,90.3,77.5,239.6,597.4,5.0,봄
13.0,21.8,25.7,18.9,121.6,84.2,186.9,521.2,5.0,여름
13.0,25.5,28.7,23.1,205.7,88.6,167.9,477.7,5.0,여름
13.0,26.8,30.4,24.1,194.1,85.3,206.3,489.7,5.0,여름
13.0,22.2,26.2,19.0,150.4,81.5,194.0,428.7,5.0,가을
13.0,16.5,20.9,12.9,87.2,75.5,209.8,381.9,5.0,가을
13.0,10.5,14.5,7.1,64.4,74.9,159.3,253.7,5.0,가을
13.0,3.7,7.3,0.5,45.5,73.4,146.8,215.5,5.0,겨울
14.0,6.0,8.5,3.7,57.7,64.5,76.0,187.2,2.0,겨울
14.0,6.9,9.9,4.1,61.1,64.4,106.0,260.0,2.0,겨울
14.0,10.2,13.8,7.0,82.9,63.6,181.9,451.1,2.0,봄
14.0,14.6,18.4,11.3,92.5,65.8,202.9,538.2,2.0,봄
14.0,19.0,22.9,15.8,77.5,68.9,224.4,631.8,2.0,봄
14.0,22.0,25.1,19.7,171.8,81.6,150.5,517.0,2.0,여름
14.0,26.7,29.8,24.2,178.6,80.0,189.4,572.4,2.0,여름
14.0,27.8,30.7,25.5,280.2,77.8,203.6,553.6,2.0,여름
14.0,23.5,26.2,21.1,235.0,76.0,153.2,426.0,2.0,가을
14.0,18.9,21.9,16.3,135.6,67.9,164.4,377.3,2.0,가을
14.0,13.9,16.9,11.1,85.2,67.3,117.6,249.6,2.0,가을
14.0,8.2,10.8,5.7,62.6,64.7,72.8,168.8,2.0,겨울
15.0,0.3,5.9,4.7,32.2,52.6,197.2,272.1,4.0,겨울
15.0,2.3,8.4,3.1,30.8,56.7,179.1,304.8,4.0,겨울
15.0,7.4,14.4,1.0,59.7,58.3,226.7,441.6,4.0,봄
15.0,12.7,19.7,6.0,96.1,60.3,218.8,505.8,4.0,봄
15.0,18.4,25.7,11.7,55.3,63.5,240.0,601.8,4.0,봄
15.0,21.9,27.7,17.0,100.6,72.6,182.1,503.7,4.0,여름
15.0,25.4,30.6,21.4,190.1,78.4,162.9,476.5,4.0,여름
15.0,25.9,31.4,21.9,191.9,79.8,180.9,444.4,4.0,여름
15.0,20.5,26.2,16.2,194.1,81.3,147.5,358.4,4.0,가을
15.0,14.8,21.6,9.3,108.2,75.1,178.5,330.5,4.0,가을
15.0,8.7,15.3,3.0,37.8,67.5,161.8,250.0,4.0,가을
15.0,1.9,7.7,3.2,24.4,56.3,186.2,248.4,4.0,겨울
16.0,1.2,5.9,2.9,17.4,46.6,220.7,323.2,4.0,겨울
16.0,3.6,8.6,1.0,25.9,48.9,178.5,339.2,4.0,겨울
16.0,9.1,14.9,3.8,57.7,44.4,246.7,523.2,4.0,봄
16.0,14.5,20.5,9.1,87.0,50.2,221.2,543.3,4.0,봄
16.0,20.5,26.7,14.9,59.3,51.2,259.8,672.6,4.0,봄
16.0,23.9,29.3,19.4,101.1,63.3,163.7,499.9,4.0,여름
16.0,27.0,31.5,23.3,222.4,69.0,182.7,543.0,4.0,여름
16.0,27.5,32.3,23.7,249.1,73.3,165.1,473.9,4.0,여름
16.0,22.2,27.1,18.2,147.4,66.7,190.8,456.4,4.0,가을
16.0,16.4,21.9,11.7,88.8,61.0,229.1,416.2,4.0,가을
16.0,9.9,15.0,5.5,32.8,57.1,190.0,299.2,4.0,가을
16.0,2.6,7.2,1.4,21.2,49.6,194.0,273.1,4.0,겨울
