,지역,연평균 미세먼지(PM-10),낮시간 소음도 ,국토면적,산림면적,임목축적,산림율,평균 임목축적,2019년 가로수 조성 현황(종),자치단체명,세입총계,해면기압 10년 평균(hPa),평균기온 10년 평균(℃),최고기온 10년 평균(℃),최저기온 10년 평균(℃),강수량 10년 평균(㎜),상대습도 10년 평균(%),일조시간 10년 평균(시간),나무종류,나무수량
99,경기도 메타세쿼이어,28075782,61,1019527,512105,81057717,50.23,158.28,은행나무,경기본청,38229645876000,1016.7,12.8,18.2,8.2,1294.1,69.4,2407.0,메타세쿼이어,33798.0
100,경기도 양버즘나무,28075782,61,1019527,512105,81057717,50.23,158.28,은행나무,경기본청,38229645876000,1016.7,12.8,18.2,8.2,1294.1,69.4,2407.0,양버즘나무,47042.0
101,경기도 단풍나무,28075782,61,1019527,512105,81057717,50.23,158.28,은행나무,경기본청,38229645876000,1016.7,12.8,18.2,8.2,1294.1,69.4,2407.0,단풍나무,13960.0
102,경기도 중국단풍,28075782,61,1019527,512105,81057717,50.23,158.28,은행나무,경기본청,38229645876000,1016.7,12.8,18.2,8.2,1294.1,69.4,2407.0,중국단풍,34771.0
103,경기도 백합나무,28075782,61,1019527,512105,81057717,50.23,158.28,은행나무,경기본청,38229645876000,1016.7,12.8,18.2,8.2,1294.1,69.4,2407.0,백합나무,8670.0
104,경기도 배롱나무,28075782,61,1019527,512105,81057717,50.23,158.28,은행나무,경기본청,38229645876000,1016.7,12.8,18.2,8.2,1294.1,69.4,2407.0,배롱나무,1925.0
105,경기도 이팝나무,28075782,61,1019527,512105,81057717,50.23,158.28,은행나무,경기본청,38229645876000,1016.7,12.8,18.2,8.2,1294.1,69.4,2407.0,이팝나무,107043.0
106,경기도 곰솔,28075782,61,1019527,512105,81057717,50.23,158.28,은행나무,경기본청,38229645876000,1016.7,12.8,18.2,8.2,1294.1,69.4,2407.0,곰솔,1897.0
107,경기도 무궁화,28075782,61,1019527,512105,81057717,50.23,158.28,은행나무,경기본청,38229645876000,1016.7,12.8,18.2,8.2,1294.1,69.4,2407.0,무궁화,47395.0
108,강원특별자치도 벚나무,7946339,68,1682968,1366644,250792917,81.2,183.51,은행나무,강원본청,8676740292000,1015.6,13.7,18.0,9.9,1391.3,57.3,2369.1,벚나무,64862.0
109,강원특별자치도 왕벚나무,7946339,68,1682968,1366644,250792917,81.2,183.51,은행나무,강원본청,8676740292000,1015.6,13.7,18.0,9.9,1391.3,57.3,2369.1,왕벚나무,15438.0
110,강원특별자치도 은행나무,7946339,68,1682968,1366644,250792917,81.2,183.51,은행나무,강원본청,8676740292000,1015.6,13.7,18.0,9.9,1391.3,57.3,2369.1,은행나무,82273.0
111,강원특별자치도 메타세쿼이어,7946339,68,1682968,1366644,250792917,81.2,183.51,은행나무,강원본청,8676740292000,1015.6,13.7,18.0,9.9,1391.3,57.3,2369.1,메타세쿼이어,5300.0
112,강원특별자치도 양버즘나무,7946339,68,1682968,1366644,250792917,81.2,183.51,은행나무,강원본청,8676740292000,1015.6,13.7,18.0,9.9,1391.3,57.3,2369.1,양버즘나무,9299.0
113,강원특별자치도 단풍나무,7946339,68,1682968,1366644,250792917,81.2,183.51,은행나무,강원본청,8676740292000,1015.6,13.7,18.0,9.9,1391.3,57.3,2369.1,단풍나무,15830.0
114,강원특별자치도 중국단풍,7946339,68,1682968,1366644,250792917,81.2,183.51,은행나무,강원본청,8676740292000,1015.6,13.7,18.0,9.9,1391.3,57.3,2369.1,중국단풍,1637.0
115,강원특별자치도 백합나무,7946339,68,1682968,1366644,250792917,81.2,183.51,은행나무,강원본청,8676740292000,1015.6,13.7,18.0,9.9,1391.3,57.3,2369.1,백합나무,1079.0
116,강원특별자치도 배롱나무,7946339,68,1682968,1366644,250792917,81.2,183.51,은행나무,강원본청,8676740292000,1015.6,13.7,18.0,9.9,1391.3,57.3,2369.1,배롱나무,4379.0
117,강원특별자치도 이팝나무,7946339,68,1682968,1366644,250792917,81.2,183.51,은행나무,강원본청,8676740292000,1015.6,13.7,18.0,9.9,1391.3,57.3,2369.1,이팝나무,16019.0
118,강원특별자치도 곰솔,7946339,68,1682968,1366644,250792917,81.2,183.51,은행나무,강원본청,8676740292000,1015.6,13.7,18.0,9.9,1391.3,57.3,2369.1,곰솔,2467.0
119,강원특별자치도 무궁화,7946339,68,1682968,1366644,250792917,81.2,183.51,은행나무,강원본청,8676740292000,1015.6,13.7,18.0,9.9,1391.3,57.3,2369.1,무궁화,12399.0
120,충청북도 벚나무,8235661,66,740695,488337,78091550,65.93,159.91,은행나무,충북본청,7774159302000,1016.8,12.1,18.2,6.7,1168.0,65.7,2271.9,벚나무,81090.0
121,충청북도 왕벚나무,8235661,66,740695,488337,78091550,65.93,159.91,은행나무,충북본청,7774159302000,1016.8,12.1,18.2,6.7,1168.0,65.7,2271.9,왕벚나무,31713.0
122,충청북도 은행나무,8235661,66,740695,488337,78091550,65.93,159.91,은행나무,충북본청,7774159302000,1016.8,12.1,18.2,6.7,1168.0,65.7,2271.9,은행나무,56281.0
123,충청북도 메타세쿼이어,8235661,66,740695,488337,78091550,65.93,159.91,은행나무,충북본청,7774159302000,1016.8,12.1,18.2,6.7,1168.0,65.7,2271.9,메타세쿼이어,8489.0
124,충청북도 양버즘나무,8235661,66,740695,488337,78091550,65.93,159.91,은행나무,충북본청,7774159302000,1016.8,12.1,18.2,6.7,1168.0,65.7,2271.9,양버즘나무,16578.0
125,충청북도 단풍나무,8235661,66,740695,488337,78091550,65.93,159.91,은행나무,충북본청,7774159302000,1016.8,12.1,18.2,6.7,1168.0,65.7,2271.9,단풍나무,14862.0
126,충청북도 중국단풍,8235661,66,740695,488337,78091550,65.93,159.91,은행나무,충북본청,7774159302000,1016.8,12.1,18.2,6.7,1168.0,65.7,2271.9,중국단풍,2113.0
127,충청북도 백합나무,8235661,66,740695,488337,78091550,65.93,159.91,은행나무,충북본청,7774159302000,1016.8,12.1,18.2,6.7,1168.0,65.7,2271.9,백합나무,1022.0
128,충청북도 배롱나무,8235661,66,740695,488337,78091550,65.93,159.91,은행나무,충북본청,7774159302000,1016.8,12.1,18.2,6.7,1168.0,65.7,2271.9,배롱나무,4883.0
129,충청북도 이팝나무,8235661,66,740695,488337,78091550,65.93,159.91,은행나무,충북본청,7774159302000,1016.8,12.1,18.2,6.7,1168.0,65.7,2271.9,이팝나무,40451.0
130,충청북도 곰솔,8235661,66,740695,488337,78091550,65.93,159.91,은행나무,충북본청,7774159302000,1016.8,12.1,18.2,6.7,1168.0,65.7,2271.9,곰솔,
131,충청북도 무궁화,8235661,66,740695,488337,78091550,65.93,159.91,은행나무,충북본청,7774159302000,1016.8,12.1,18.2,6.7,1168.0,65.7,2271.9,무궁화,21373.0
132,충청남도 벚나무,12765996,61,824617,404097,59154844,49.0,146.39,왕벚나무,충남본청,9890664709000,1017.1,12.3,17.6,7.5,1156.5,76.2,2395.2,벚나무,37082.0
133,충청남도 왕벚나무,12765996,61,824617,404097,59154844,49.0,146.39,왕벚나무,충남본청,9890664709000,1017.1,12.3,17.6,7.5,1156.5,76.2,2395.2,왕벚나무,79386.0
134,충청남도 은행나무,12765996,61,824617,404097,59154844,49.0,146.39,왕벚나무,충남본청,9890664709000,1017.1,12.3,17.6,7.5,1156.5,76.2,2395.2,은행나무,64354.0
135,충청남도 메타세쿼이어,12765996,61,824617,404097,59154844,49.0,146.39,왕벚나무,충남본청,9890664709000,1017.1,12.3,17.6,7.5,1156.5,76.2,2395.2,메타세쿼이어,7933.0
136,충청남도 양버즘나무,12765996,61,824617,404097,59154844,49.0,146.39,왕벚나무,충남본청,9890664709000,1017.1,12.3,17.6,7.5,1156.5,76.2,2395.2,양버즘나무,8684.0
