지점명,2019년 가로수 조성 현황(종),,해면기압 평균(hPa),해면기압 표준편차(hPa),평균기온 평균(℃),평균기온 표준편차(℃),최고기온 평균(℃),최저기온 평균(℃),강수량 합계(㎜),강수량 표준편차(㎜),강수량 계속시간(시간),상대습도 평균(%),증기압 평균(hPa),증기압 표준편차(hPa),일조시간 합계(시간),수평면일사량 합계(MJ/㎡)
울산광역시,왕벚나무,12월,1023.4,1.5,3.9,1.7,8.9,-0.4,32.4,27.3,37.5,51.4,4.6,1,203.6,
경상남도,은행나무,1월,1023.6,0.9,2.1,1.8,6.6,-1.8,25.3,33.5,36.5,46.5,3.6,0.7,208.5,
경상남도,은행나무,2월,1022.5,1,4.1,1.1,8.9,-0.1,46.6,23.2,43.9,48.6,4.3,0.7,188.9,
경상남도,은행나무,3월,1018.9,1.6,8.8,0.8,14.2,4.1,81.5,53.7,67.3,54.5,6.3,1,227.1,
경상남도,은행나무,4월,1014.8,1.4,13.7,1.1,19.2,9,141.8,64.7,82.2,58.7,9.2,1.4,222.2,
경상남도,은행나무,5월,1011.5,0.7,18.8,0.7,24.4,14.3,116,56,68.9,63.7,13.5,1,246.9,
경상남도,은행나무,6월,1007.7,0.7,21.9,0.6,26.6,18.5,155.3,98.8,76.3,74.8,19.5,1.1,184.6,
경상남도,은행나무,7월,1007.5,0.7,25.5,1.5,29.5,22.6,256.6,128.5,115.3,82.4,26.8,2.7,164.9,
경상남도,은행나무,8월,1007.9,1.2,26.8,1.1,31.1,23.6,225.6,173.7,88.9,78.8,27.5,1.8,194.4,
경상남도,은행나무,9월,1013,1,22.1,0.8,26.5,18.7,189.2,145.9,75.2,74.6,19.8,1.3,166.9,
경상남도,은행나무,10월,1018.6,0.7,16.9,0.9,21.8,13,107.2,77.1,48,64.9,12.6,1.6,208.6,
경상남도,은행나무,11월,1021.5,1.5,10.7,1.2,15.5,6.8,54.5,38.2,43.1,59.5,8.1,1.4,184.7,
경상남도,은행나무,12월,1023.9,1.5,3.7,1.4,8.2,-0.3,36.6,41.9,35.9,49.9,4.3,0.7,201.3,
광주광역시,은행나무,1월,1025.7,1.2,1,2.1,5.6,-2.8,29.5,22.1,92.5,64.5,4.4,0.7,178.3,280.2
광주광역시,은행나무,2월,1024.2,0.9,3,1.3,8.2,-1.4,35.3,16.2,83.4,60.3,4.7,0.7,173.4,326.2
광주광역시,은행나무,3월,1020.3,1.6,7.9,1.3,14.3,2.8,62,33.9,62.3,59.8,6.5,1.1,228,494.4
광주광역시,은행나무,4월,1015.5,1.5,13.6,1.5,20,8.3,96.1,44,77.1,61.2,9.4,1.4,220.3,548.1
광주광역시,은행나무,5월,1011.9,0.8,19.4,0.4,25.7,14,77.3,33.7,60,63.5,13.8,1.5,249.6,648
광주광역시,은행나무,6월,1007.5,0.7,23.1,0.6,28.6,19.1,119.3,57.7,63,73,20.2,1.5,183,549.9
광주광역시,은행나무,7월,1007.3,0.8,26.2,1.4,30.5,23.1,273.5,120.5,97.5,81.9,27.6,2.6,152.6,496.6
광주광역시,은행나무,8월,1007.7,0.9,27,1.3,31.5,23.7,323,201.2,85.5,79.6,28,2.4,185.5,506.2
광주광역시,은행나무,9월,1013.2,0.9,22.2,0.6,27.2,18.3,139.1,80,75.4,75.9,20.1,1.8,181,451.8
광주광역시,은행나무,10월,1019.4,0.7,16.3,0.9,21.9,11.7,91.9,62.8,50,69.5,12.9,1.6,212.5,419.8
광주광역시,은행나무,11월,1022.6,1.4,10.1,1.4,15.2,5.9,62.7,46,63.3,68.7,8.8,1.6,170,284.1
광주광역시,은행나무,12월,1025.7,1.4,2.9,1.6,7.5,-0.8,37.4,20.7,92.9,66.4,5.2,0.7,163.5,243.3
부산광역시,왕벚나무,1월,1023.1,0.9,3.4,2,8.2,-0.3,35.5,37.7,36.5,44.9,3.9,0.9,225.8,315
부산광역시,왕벚나무,2월,1022.1,1,5.3,1.3,10.1,1.4,51.1,21.4,47.2,49.9,4.8,0.8,196.5,342.1
부산광역시,왕벚나무,3월,1018.8,1.6,9.5,1,14.1,5.6,102.2,58.6,66.4,55.3,6.8,1,230.7,474.4
부산광역시,왕벚나무,4월,1014.8,1.4,13.9,0.9,18.1,10.3,149.4,61.2,75.9,59.9,9.6,1.3,225.5,527
부산광역시,왕벚나무,5월,1011.6,0.8,18.5,0.7,22.7,15.3,121.2,58.8,61.3,65.7,13.9,0.9,254.6,601.8
부산광역시,왕벚나무,6월,1007.9,0.8,21.5,0.4,25.2,19,170.1,111.6,71.6,75.7,19.4,1,191.6,540.2
부산광역시,왕벚나무,7월,1007.8,0.7,25,1.3,28.1,22.7,303.6,217.6,89.7,81.7,25.7,1.3,198.6,514.3
부산광역시,왕벚나무,8월,1008,1.2,26.8,1.2,30.2,24.3,214.8,173.1,70.2,76.3,26.7,1.3,219.3,524.3
부산광역시,왕벚나무,9월,1012.9,1.2,22.6,0.6,26.4,19.9,230.5,129.4,78.6,72.6,19.9,1.7,186.1,405.8
부산광역시,왕벚나무,10월,1018.3,0.6,17.9,0.7,22.4,14.6,121.5,47.8,47.1,62.5,13,1.6,222.7,398.2
부산광역시,왕벚나무,11월,1021.2,1.5,12.2,1.2,16.9,8.7,65.3,44.7,37.8,57.1,8.6,1.7,200.3,297.5
부산광역시,왕벚나무,12월,1023.4,1.4,5.2,1.7,9.8,1.4,48.9,50.4,33.1,48.1,4.7,1.1,216.3,288
전라남도,왕벚나무,1월,1025.5,1.3,1.4,1.7,5,-1.7,33,27.2,99.4,75.6,5.3,0.7,162.5,249.6
전라남도,왕벚나무,2월,1024,1,2.7,1.3,6.7,-0.8,33.6,10.2,87.3,74.4,5.7,0.7,160.4,291.7
전라남도,왕벚나무,3월,1020.4,1.6,6.9,1.2,11.6,2.9,66.1,46.5,58.4,73.8,7.5,1.1,217.8,452.6
전라남도,왕벚나무,4월,1015.6,1.5,12.3,1.4,17,8.3,102,53.6,77.5,75.3,10.8,1.7,219.3,508.1
전라남도,왕벚나무,5월,1012,0.9,17.8,0.6,22.6,13.9,90.3,44,59.4,77.5,15.6,1.3,239.6,597.4
전라남도,왕벚나무,6월,1007.7,0.8,21.8,0.5,25.7,18.9,121.6,68.1,64.3,84.2,21.8,1.5,186.9,521.2
전라남도,왕벚나무,7월,1007.2,0.9,25.5,1.4,28.7,23.1,205.7,90.3,89.2,88.6,28.8,2.7,167.9,477.7
전라남도,왕벚나무,8월,1007.6,0.8,26.8,1.5,30.4,24.1,194.1,112.8,79.3,85.3,29.7,2,206.3,489.7
전라남도,왕벚나무,9월,1013.1,0.9,22.2,0.6,26.2,19,150.4,82.7,77.6,81.5,21.7,1.7,194,428.7
전라남도,왕벚나무,10월,1019.3,0.7,16.5,0.8,20.9,12.9,87.2,63.2,49,75.5,14.4,2,209.8,381.9
전라남도,왕벚나무,11월,1022.4,1.5,10.5,1.2,14.5,7.1,64.4,48,60.6,74.9,9.8,1.1,159.3,253.7
전라남도,왕벚나무,12월,1025.5,1.5,3.7,1.5,7.3,0.5,45.5,26.3,103.1,73.4,6.1,0.8,146.8,215.5
제주특별자치도,왕벚나무,1월,1025.2,1.1,6,1.7,8.5,3.7,57.7,39,98.7,64.5,6.2,0.8,76,187.2
제주특별자치도,왕벚나무,2월,1023.7,1.1,6.9,1.2,9.9,4.1,61.1,37.4,100.5,64.4,6.6,0.7,106,260
제주특별자치도,왕벚나무,3월,1020.3,1.6,10.2,1.1,13.8,7,82.9,40.4,71.4,63.6,8.2,1.1,181.9,451.1
제주특별자치도,왕벚나무,4월,1015.6,1.6,14.6,1,18.4,11.3,92.5,43.2,76.7,65.8,11.1,1.4,202.9,538.2
제주특별자치도,왕벚나무,5월,1012,0.9,19,0.5,22.9,15.8,77.5,39.3,65.4,68.9,15,1.2,224.4,631.8
제주특별자치도,왕벚나무,6월,1007.7,0.8,22,0.3,25.1,19.7,171.8,97,101,81.6,21.4,1.1,150.5,517
